total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,profit_factor,average_trade_pnl,average_win,average_loss,win_loss_ratio,number_of_trades,turnover,split,model
0.025702316848209117,0.28803185273693077,0.6232772369224711,0.40610480519038017,0.43839767722684514,-0.39957757277731665,0.7208408888790414,0.32819466485301896,0.8153941710498239,-0.16669667845604455,2.1672291552352383,-1.3676196286788573,1.5846724555487819,5881,7640.0,cpcv_1_2,decoder_tft
1.4628788608525878,11.133313162227228,0.9048554869557365,2.7584578170206377,3.114675963407515,-0.2992493751575038,37.2041316923968,0.32497636604273017,1.0361945765690226,0.052111108614017874,4.0397079333013,-2.2827760585706285,1.7696470567642029,5635,7106.0,cpcv_1_4,decoder_tft
1.055843550588254,5.423755286221987,0.6206651934330008,2.9968349287003586,3.1523274528091263,-0.23303852697864813,23.27407127285409,0.28543902070424665,0.9804013012956758,-0.019357613213256342,2.7612895951104295,-1.5211385049209443,1.8152782183723222,5552,6940.0,cpcv_1_6,decoder_tft
1.006620884499235,5.329959841225817,0.6767643520645508,2.726682765947671,2.9957981353281085,-0.35042596205162857,15.209945661618955,0.30729857819905215,0.8377631747626151,-0.12404596179674993,1.9361512137506025,-1.142619999790525,1.6944839177552944,6278,8052.0,cpcv_2_3,decoder_tft
2.0228002157541107,16.8766314323831,0.8080849479116714,3.568389995611466,3.894224826218788,-0.3658028829088962,46.135862293316734,0.35206642762785434,1.143642879616378,0.16659062197062494,3.4224233548519596,-1.8936202979365495,1.8073440375461356,6536,8718.0,cpcv_2_5,decoder_tft
0.13338779657345534,0.5281357997769087,0.5176775127564598,0.8191393653014706,0.9335619419293866,-0.32101430658419106,1.645209540336785,0.2943737694987127,1.136459167430542,0.1501438407479315,3.475702018350823,-1.718556499994384,2.022454320449855,5562,7324.0,cpcv_2_8,decoder_tft
3.966922115652763,61.158421349379694,0.9027489565103483,4.574722056657995,4.641685597022003,-0.2809517249039353,217.68302497623517,0.3240333586050038,1.3903057083193204,0.4422627043946657,3.782125697387961,-1.9420453372212063,1.9474960882219416,7500,9838.0,cpcv_3_5,decoder_tft
2.334206876656583,21.321655303796575,0.7777635325119164,3.9930337655654653,4.297657823684561,-0.24244250897216302,87.94520150030581,0.31338175457276496,1.145458855651808,0.20213806855485114,4.026952087339452,-2.298040210590705,1.7523418732104494,5515,7116.0,cpcv_3_8,decoder_tft
1.5382536715044246,9.688760837809449,0.655530597672327,3.6142304278853437,3.9439883320754605,-0.23831352421823948,40.65552246601334,0.2984398020475237,1.1109956943611394,0.13696638574878559,3.7915843200468777,-1.9328520660915738,1.9616526202720999,4721,5972.0,cpcv_4_6,decoder_tft
1.715555222799269,12.217744911656661,0.7381853931683172,3.4972442954037595,3.474412234846353,-0.3176116316245149,38.46756130802117,0.27833339623353587,1.2893322823355795,0.31917846428296054,3.6051004565607223,-1.8219932216038228,1.97865744713765,6220,7920.0,cpcv_5_6,decoder_tft
3.163115382596266,35.77797728338865,0.7731867271196172,4.662528735438283,5.23019546864136,-0.32845001509838667,108.92974772027767,0.3294848014536094,1.305773268510788,0.4610545746971879,4.829158451030564,-2.545756655244621,1.8969442507718912,6902,8852.0,cpcv_5_8,decoder_tft
0.2414322825356534,1.1368428147812493,0.7180689310295925,1.057466901231471,1.2842787411320713,-0.3096139509428961,3.671807459964631,0.3261273561649031,1.1491690011432623,0.23511033748264368,4.806289593496201,-2.5292962021797085,1.900247819671818,6626,8850.0,cpcv_7_8,decoder_tft
