total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,profit_factor,average_trade_pnl,average_win,average_loss,win_loss_ratio,number_of_trades,turnover,window,model
-0.35631492906004203,-0.961338799352628,1.5770954568158297,-2.0625462697246433,-2.6083351049841736,-0.5789526145183994,-1.6604792434564197,0.4544090681780297,0.6519802697269356,-0.9080408183333143,8.005289168627517,-3.313225100529095,2.4161621760468788,240,1200.0,wf_4_2023-01-01_2023-06-30,long_only
-0.6909716910123787,-0.9999804689980868,1.5126104990398348,-7.168102764729556,-9.552392891744919,-0.7491604865543171,-1.3348014036316693,0.38273045507584597,0.0910281185176973,-3.4381788828402415,4.563836800000038,-4.091143362560008,1.1155406681090356,1352,6760.0,wf_4_2023-01-01_2023-06-30,tsmom_12
-0.6167375191789043,-0.9998210979865628,1.5242007783235196,-5.660713823033015,-7.65715504058525,-0.7310748595587768,-1.3676042677626494,0.39423237206201034,0.13048758221253795,-3.0998514270058717,4.802307616161667,-3.9474286158179916,1.2165660442643689,1022,5110.0,wf_4_2023-01-01_2023-06-30,tsmom_24
-0.43260784198431623,-0.9899495541103382,1.5394120858693017,-2.9881313394297178,-3.8882034263884884,-0.6112181421248466,-1.6196337868324144,0.4164027337889648,0.2276881957450872,-2.7498980144143994,6.584530400000026,-4.060554058904096,1.6215842233552549,666,3330.0,wf_4_2023-01-01_2023-06-30,tsmom_48
-0.36021223734140595,-0.9651375162528233,1.5510148613771058,-2.1639070629877577,-2.793693372566657,-0.5496691889156924,-1.7558515843988027,0.43023837306217705,0.20573485326252042,-2.9048977928571493,6.4375621944444354,-4.141399850000006,1.554441113539043,616,3080.0,wf_4_2023-01-01_2023-06-30,tsmom_78
-0.4294896251532636,-0.9892946800094514,1.5436782028198126,-2.9389845541667947,-3.884462469204263,-0.6177300307000466,-1.6015000580242582,0.41790298383063845,0.18731168332119874,-2.9150176727828723,5.492496690000047,-4.086796678048785,1.343961327829601,654,3270.0,wf_4_2023-01-01_2023-06-30,ema_cross_8_24
-0.4294896251532636,-0.9892946800094514,1.5436782028198126,-2.9389845541667947,-3.884462469204263,-0.6177300307000466,-1.6015000580242582,0.41790298383063845,0.18731168332119874,-2.9150176727828723,5.492496690000047,-4.086796678048785,1.343961327829601,654,3270.0,wf_4_2023-01-01_2023-06-30,macd_8_24
-0.26544804975891223,-0.8553582924681231,1.5597080749767056,-1.2396326490740142,-1.6352340781779295,-0.4583911524133738,-1.8660008771215706,0.4329054842473746,0.33242900743136355,-2.1373446995555296,6.941278139130507,-3.7815047412073315,1.8355862584253553,450,2250.0,wf_4_2023-01-01_2023-06-30,ema_cross_16_48
-0.26544804975891223,-0.8553582924681231,1.5597080749767056,-1.2396326490740142,-1.6352340781779295,-0.4583911524133738,-1.8660008771215706,0.4329054842473746,0.33242900743136355,-2.1373446995555296,6.941278139130507,-3.7815047412073315,1.8355862584253553,450,2250.0,wf_4_2023-01-01_2023-06-30,macd_16_48
0.10316802392780033,8.299553743158771,1.5679430678231834,1.422249993526133,1.8472974103248636,-0.3938642924343202,21.072115199533563,0.4534089014835806,0.47966211676511866,-1.4411038144578279,6.682506496969759,-3.4567364481203118,1.9331836827200237,332,1660.0,wf_4_2023-01-01_2023-06-30,ema_cross_32_96
0.10316802392780033,8.299553743158771,1.5679430678231834,1.422249993526133,1.8472974103248636,-0.3938642924343202,21.072115199533563,0.4534089014835806,0.47966211676511866,-1.4411038144578279,6.682506496969759,-3.4567364481203118,1.9331836827200237,332,1660.0,wf_4_2023-01-01_2023-06-30,macd_32_96
0.0032843944527547464,0.03489532902411607,0.04073724305478861,0.8419887369883979,0.2545668680330408,-0.013222514343254166,2.639084225453603,0.014335722620436739,0.18004938813553062,-0.33986871777778027,0.5373381120000454,-0.48135369032259084,1.1163062064402898,36,36.0,wf_4_2023-01-01_2023-06-30,lstm_dmn
0.057552816601005974,1.0626380949176957,0.5532277893551347,1.3086654102380415,1.4817729139264881,-0.21579341546998465,4.924330488042631,0.28371395232538754,1.0076098306269223,0.0068127299013818286,2.3483837655455733,-1.4536226878462764,1.6155387399910477,2028,2616.0,wf_4_2023-01-01_2023-06-30,decoder_transformer
-0.10504301944211059,-0.6456030345541659,0.43724818005648824,-2.3724028684795875,-2.4702297163633795,-0.22195893671290057,-2.908659791379522,0.24787464577429572,0.9157333780174012,-0.06714402924316182,2.142407536453892,-1.2083409917460355,1.7730156893528404,1242,1546.0,wf_4_2023-01-01_2023-06-30,decoder_tft
