timestamp,close,action,contracts_before,contracts_after,delta_contracts,turnover,buy_units,sell_units,buy_cost_vnd,sell_fixed_cost_vnd,sell_tax_cost_vnd,total_cost_vnd,cost_points
2026-06-25T09:25:00,2003.7,buy,0,5,5,5.0,5.0,0.0,52000.0,0.0,0.0,52000.0,0.52
2026-06-25T09:30:00,2004.7,sell,5,4,-1,1.0,0.0,1.0,0.0,10400.0,37046.856,47446.856,0.47446856
2026-06-25T09:45:00,2004.2,sell,4,3,-1,1.0,0.0,1.0,0.0,10400.0,37037.616,47437.616,0.47437616
2026-06-25T09:50:00,2005.7,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37065.336,47465.336,0.47465336
2026-06-25T10:05:00,2004.0,buy,0,3,3,3.0,3.0,0.0,31200.0,0.0,0.0,31200.0,0.312
2026-06-25T10:15:00,2005.1,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37054.248,47454.248,0.47454248
2026-06-25T10:30:00,2004.8,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-25T10:35:00,2005.4,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37059.792,47459.792,0.47459792
2026-06-25T10:55:00,2004.5,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,37043.16,47443.16,0.4744316
2026-06-25T11:00:00,2003.5,buy,1,2,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-25T11:05:00,2005.5,sell,2,0,-2,2.0,0.0,2.0,0.0,20800.0,74123.28,94923.28,0.9492328
2026-06-25T11:20:00,2005.1,buy,0,1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-25T13:00:00,2006.3,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,37076.424,47476.424,0.47476424
2026-06-25T13:15:00,2010.8,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74319.168,95119.168,0.9511916800000001
2026-06-25T13:25:00,2009.0,buy,-2,-1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-25T14:00:00,2007.8,buy,-1,0,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-25T14:05:00,2004.8,buy,0,2,2,2.0,2.0,0.0,20800.0,0.0,0.0,20800.0,0.208
2026-06-25T14:25:00,2006.0,sell,2,0,-2,2.0,0.0,2.0,0.0,20800.0,74141.76,94941.76,0.9494176
2026-06-26T09:35:00,2003.5,buy,0,4,4,4.0,4.0,0.0,41600.0,0.0,0.0,41600.0,0.416
2026-06-26T09:55:00,2001.3,sell,4,3,-1,1.0,0.0,1.0,0.0,10400.0,36984.024,47384.024,0.47384023999999997
2026-06-26T10:10:00,1996.4,buy,3,4,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-26T10:20:00,1999.2,sell,4,2,-2,2.0,0.0,2.0,0.0,20800.0,73890.432,94690.432,0.94690432
2026-06-26T10:25:00,1998.5,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-26T10:30:00,1997.3,buy,3,4,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-26T11:20:00,1993.5,sell,4,3,-1,1.0,0.0,1.0,0.0,10400.0,36839.88,47239.88,0.47239879999999995
2026-06-26T11:25:00,1992.7,buy,0,3,3,3.0,3.0,0.0,31200.0,0.0,0.0,31200.0,0.312
2026-06-26T13:00:00,1997.6,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,36915.648,47315.648,0.47315648
2026-06-26T13:15:00,1998.0,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,36923.04,47323.04,0.4732304
2026-06-26T13:25:00,2001.9,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,36995.112,47395.112,0.47395112
2026-06-26T14:15:00,2006.0,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74141.76,94941.76,0.9494176
2026-06-26T14:25:00,2007.0,buy,-2,0,2,2.0,2.0,0.0,20800.0,0.0,0.0,20800.0,0.208
2026-06-29T09:40:00,2012.3,sell,0,-4,-4,4.0,0.0,4.0,0.0,41600.0,148749.216,190349.216,1.9034921599999999
2026-06-29T10:20:00,2012.0,buy,-4,-3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T10:25:00,2012.0,buy,-3,-2,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T10:30:00,2011.6,buy,-2,-1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T10:35:00,2010.4,buy,-1,0,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T11:00:00,2012.0,buy,0,1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T11:10:00,2010.7,buy,1,2,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T11:15:00,2010.3,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,37150.344,47550.344,0.47550344
2026-06-29T11:20:00,2011.2,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,37166.976,47566.976,0.47566976
2026-06-29T13:05:00,2012.3,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74374.608,95174.608,0.9517460799999999
2026-06-29T13:45:00,2013.0,buy,-2,-1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-29T13:55:00,2010.8,buy,-1,0,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T09:30:00,2008.8,buy,0,4,4,4.0,4.0,0.0,41600.0,0.0,0.0,41600.0,0.416
2026-06-30T09:35:00,2007.4,sell,4,3,-1,1.0,0.0,1.0,0.0,10400.0,37096.752,47496.752,0.47496752
2026-06-30T09:50:00,2004.7,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37046.856,47446.856,0.47446856
2026-06-30T09:55:00,2004.6,sell,2,0,-2,2.0,0.0,2.0,0.0,20800.0,74090.016,94890.016,0.94890016
