timestamp,close,raw_signal,processed_signal,regime_probability,target_normalized_position,current_contracts_before,target_contracts,delta_contracts,trade_allowed,dry_run
2026-06-25T09:25:00,2003.7,0.9022626876831055,0.910573560185163,0.041018303483724594,0.910573560185163,0,5,5,True,True
2026-06-25T09:30:00,2004.7,0.7730010747909546,0.811722291949329,0.038428764790296555,0.811722291949329,5,4,-1,True,True
2026-06-25T09:35:00,2004.1,0.6759104132652283,0.7335931148866963,0.03975474834442139,0.7335931148866963,4,4,0,True,True
2026-06-25T09:40:00,2003.6,0.6459711790084839,0.7086193225911201,0.04137019068002701,0.7086193225911201,4,4,0,True,True
2026-06-25T09:45:00,2004.2,0.4967551827430725,0.5812991975108596,0.04397418722510338,0.5812991975108596,4,3,-1,True,True
2026-06-25T09:50:00,2005.7,0.26515182852745056,0.36228630515494653,0.048843976110219955,0.36228630515494653,3,2,-1,True,True
2026-06-25T09:55:00,2005.4,0.35404327511787415,0.44872785861946324,0.055833544582128525,0.44872785861946324,2,2,0,True,True
2026-06-25T10:05:00,2004.0,0.5417271256446838,0.614459861698459,0.06724658608436584,0.614459861698459,0,3,3,True,True
2026-06-25T10:10:00,2004.9,0.42211848497390747,0.5089785117406695,0.07023832201957703,0.5089785117406695,3,3,0,True,True
2026-06-25T10:15:00,2005.1,0.34050795435905457,0.43150881664693774,0.07989484816789627,0.43150881664693774,3,2,-1,True,True
2026-06-25T10:20:00,2005.2,0.3352774381637573,0.42491292722392837,0.08905831724405289,0.42491292722392837,2,2,0,True,True
2026-06-25T10:25:00,2005.5,0.3421798348426819,0.4295090730175225,0.09994307905435562,0.4295090730175225,2,2,0,True,True
2026-06-25T10:30:00,2004.8,0.4234001338481903,0.5012255059374328,0.11268389225006104,0.5012255059374328,2,3,1,True,True
2026-06-25T10:35:00,2005.4,0.361875057220459,0.4436111553630463,0.12303120642900467,0.4436111553630463,3,2,-1,True,True
2026-06-25T10:40:00,2004.8,0.4055193364620209,0.4801363038001438,0.1379130631685257,0.4801363038001438,2,2,0,True,True
2026-06-25T10:45:00,2004.1,0.3979787826538086,0.4709868543372144,0.1500757932662964,0.4709868543372144,2,2,0,True,True
2026-06-25T10:50:00,2004.8,0.26283955574035645,0.34323593537468955,0.16242951154708862,0.34323593537468955,2,2,0,True,True
2026-06-25T10:55:00,2004.5,0.2052675485610962,0.2831112797677882,0.17909716069698334,0.2831112797677882,2,1,-1,True,True
2026-06-25T11:00:00,2003.5,0.23880568146705627,0.31477875617101875,0.19637420773506165,0.31477875617101875,1,2,1,True,True
2026-06-25T11:05:00,2005.5,-0.016388311982154846,0.0,0.20622488856315613,0.0,2,0,-2,True,True
