timestamp,close,previous_close,price_change,contracts_held_during_bar,contracts_after_decision,gross_pnl_points,cost_points,cost_vnd,net_pnl_points,gross_return,net_return,cum_net_pnl_points,cum_net_return
2026-06-25T09:25:00,2003.7,,0.0,0,5,0.0,0.52,52000.0,-0.52,0.0,-0.0002595198882068174,-0.52,-0.0002595198882068174
2026-06-25T09:30:00,2004.7,2003.7,1.0,5,4,5.0,0.47446856,47446.856,4.52553144,0.0024941387738813786,0.002257460687384646,4.00553144,0.0019979407991778286
2026-06-25T09:35:00,2004.1,2004.7,-0.6000000000001364,4,4,-2.4000000000005457,0.0,0.0,-2.4000000000005457,-0.0011975450326832723,-0.0011975450326832723,1.6055314399994547,0.0008003957664945564
2026-06-25T09:40:00,2003.6,2004.1,-0.5,4,4,-2.0,0.0,0.0,-2.0,-0.0009982032341784787,-0.0009982032341784787,-0.3944685600005453,-0.00019780746768392234
2026-06-25T09:45:00,2004.2,2003.6,0.6000000000001364,4,3,2.4000000000005457,0.47437616,47437.616,1.9256238400005457,0.001197485280910361,0.0009607942520709239,1.5311552800000003,0.0007629867843870015
2026-06-25T09:50:00,2005.7,2004.2,1.5,3,2,4.5,0.47465336,47465.336,4.02534664,0.0022436057236874907,0.0020069535025178243,5.5565019200000005,0.0027699402869048257
2026-06-25T09:55:00,2005.4,2005.7,-0.2999999999999545,2,2,-0.599999999999909,0.0,0.0,-0.599999999999909,-0.00029919218111095495,-0.00029919218111095495,4.9565019200000915,0.0024707481057938707
2026-06-25T10:05:00,2004.0,,0.0,0,3,0.0,0.312,31200.0,-0.312,0.0,-0.000155688622754491,-0.312,-0.000155688622754491
2026-06-25T10:10:00,2004.9,2004.0,0.900000000000091,3,3,2.700000000000273,0.0,0.0,2.700000000000273,0.001346700583570389,0.001346700583570389,2.388000000000273,0.001191011960815898
2026-06-25T10:15:00,2005.1,2004.9,0.1999999999998181,3,2,0.5999999999994543,0.47454248,47454.248,0.12545751999945431,0.00029923694578796783,6.256920851800625e-05,2.5134575199997276,0.0012535811693339042
2026-06-25T10:20:00,2005.2,2005.1,0.10000000000013642,2,2,0.20000000000027285,0.0,0.0,0.20000000000027285,9.974067424709398e-05,9.974067424709398e-05,2.7134575200000004,0.0013533218435809982
2026-06-25T10:25:00,2005.5,2005.2,0.2999999999999545,2,2,0.599999999999909,0.0,0.0,0.599999999999909,0.0002991772625280025,0.0002991772625280025,3.3134575199999095,0.0016524991061090007
2026-06-25T10:30:00,2004.8,2005.5,-0.7000000000000455,2,3,-1.400000000000091,0.104,10400.0,-1.504000000000091,-0.0006983240223464141,-0.0007501995211492871,1.8094575199998184,0.0009022995849597135
2026-06-25T10:35:00,2005.4,2004.8,0.6000000000001364,3,2,1.8000000000004093,0.47459792,47459.792,1.3254020800004094,0.0008975765433332049,0.0006609165652739649,3.134859600000228,0.0015632161502336784
2026-06-25T10:40:00,2004.8,2005.4,-0.6000000000001364,2,2,-1.2000000000002728,0.0,0.0,-1.2000000000002728,-0.000598563447725595,-0.000598563447725595,1.934859599999955,0.0009646527025080835
2026-06-25T10:45:00,2004.1,2004.8,-0.7000000000000455,2,2,-1.400000000000091,0.0,0.0,-1.400000000000091,-0.0006985679357317953,-0.0006985679357317953,0.534859599999864,0.00026608476677628817
2026-06-25T10:50:00,2004.8,2004.1,0.7000000000000455,2,2,1.400000000000091,0.0,0.0,1.400000000000091,0.0006983240223464141,0.0006983240223464141,1.934859599999955,0.0009644087891227022
2026-06-25T10:55:00,2004.5,2004.8,-0.2999999999999545,2,1,-0.599999999999909,0.4744316,47443.16,-1.074431599999909,-0.00029932651534043855,-0.0005360097779994558,0.8604280000000459,0.0004283990111232464
2026-06-25T11:00:00,2003.5,2004.5,-1.0,1,2,-1.0,0.104,10400.0,-1.104,-0.0004991265285749938,-0.0005510356875467931,-0.24357199999995416,-0.0001226366764235467
2026-06-25T11:05:00,2005.5,2003.5,2.0,2,0,4.0,0.9492328,94923.28,3.0507672,0.0019945150835203192,0.0015212002991772627,2.807195200000046,0.001398563622753716
