model,year,net_return_sum
decoder_tft,2021,0.3803793736507051
decoder_tft,2022,0.40569625194212194
decoder_tft,2023,0.2395004868052703
decoder_tft,2024,0.3405451547465917
decoder_tft,2025,0.49383035183782553
decoder_tft,2026,-0.16120936514157896
decoder_transformer,2021,0.060557045778094884
decoder_transformer,2022,-0.0971406863157981
decoder_transformer,2023,0.47788314430132695
decoder_transformer,2024,-0.1682361549313016
decoder_transformer,2025,0.3009744186302956
decoder_transformer,2026,-0.1425299108888157
ema_cross_16_48,2021,-0.28224432161464186
ema_cross_16_48,2022,-0.6104054128023899
ema_cross_16_48,2023,-0.04465565356721246
ema_cross_16_48,2024,-0.643971096863149
ema_cross_16_48,2025,0.07785667201066611
ema_cross_16_48,2026,-0.33443338220380076
ema_cross_32_96,2021,-0.29404780502837075
ema_cross_32_96,2022,0.708637571123375
ema_cross_32_96,2023,0.8408138615743916
ema_cross_32_96,2024,-0.052298131262778574
ema_cross_32_96,2025,1.2548660823034787
ema_cross_32_96,2026,0.15285612709077845
ema_cross_8_24,2021,0.15389552201666948
ema_cross_8_24,2022,0.8227398776953345
ema_cross_8_24,2023,-0.11787806098712132
ema_cross_8_24,2024,-0.7356267184831777
ema_cross_8_24,2025,-0.37367085286926904
ema_cross_8_24,2026,-0.21218944567296685
long_only,2021,-0.6357829721530458
long_only,2022,-1.8554707573869549
long_only,2023,-0.8653709626555058
long_only,2024,-0.32194524945771535
long_only,2025,1.2177346460207392
long_only,2026,-0.5511631771798972
lstm_dmn,2021,-0.004799266292472369
lstm_dmn,2022,0.02099192343372129
lstm_dmn,2023,0.07109842425752727
lstm_dmn,2024,0.09236643175123534
lstm_dmn,2025,0.06228131780642896
lstm_dmn,2026,-0.00745843357046095
macd_16_48,2021,-0.28224432161464186
macd_16_48,2022,-0.6104054128023899
macd_16_48,2023,-0.04465565356721246
macd_16_48,2024,-0.643971096863149
macd_16_48,2025,0.07785667201066611
macd_16_48,2026,-0.33443338220380076
macd_32_96,2021,-0.29404780502837075
macd_32_96,2022,0.708637571123375
macd_32_96,2023,0.8408138615743916
macd_32_96,2024,-0.052298131262778574
macd_32_96,2025,1.2548660823034787
macd_32_96,2026,0.15285612709077845
macd_8_24,2021,0.15389552201666948
macd_8_24,2022,0.8227398776953345
macd_8_24,2023,-0.11787806098712132
macd_8_24,2024,-0.7356267184831777
macd_8_24,2025,-0.37367085286926904
macd_8_24,2026,-0.21218944567296685
tsmom_12,2021,-0.36056912851823475
tsmom_12,2022,0.8814465863634059
tsmom_12,2023,-1.6617308970727478
tsmom_12,2024,-1.981969465953194
tsmom_12,2025,-0.9245558977926095
tsmom_12,2026,-0.48115851986887365
tsmom_24,2021,-0.2550682990577155
tsmom_24,2022,-0.3007486298284101
tsmom_24,2023,-1.4565005099484387
tsmom_24,2024,-1.71465155219961
tsmom_24,2025,-2.002732350679917
tsmom_24,2026,-0.8379479474642882
tsmom_48,2021,0.04297642421326566
tsmom_48,2022,-0.8330618617824723
tsmom_48,2023,-0.9075174669161333
tsmom_48,2024,-0.5997068737363739
tsmom_48,2025,-1.3557977551306866
tsmom_48,2026,-0.4164455322298744
tsmom_78,2021,-0.1837498985780202
tsmom_78,2022,-0.09173254363771756
tsmom_78,2023,-0.15059064148344875
tsmom_78,2024,-0.9861330102712919
tsmom_78,2025,0.054708437331893414
tsmom_78,2026,-0.3684780456012788
