model,month,net_return_sum
ema_cross_16_48,2022-02,-0.2199986921879305
ema_cross_16_48,2022-03,0.07984643935865102
ema_cross_16_48,2022-04,0.2709744675896638
ema_cross_16_48,2022-05,0.34355920402287093
ema_cross_16_48,2022-06,-0.33065544687760273
ema_cross_16_48,2022-07,-0.11626974712800381
ema_cross_16_48,2022-08,0.06022856270020191
ema_cross_16_48,2022-09,-0.0367331187817013
ema_cross_16_48,2022-10,-0.008935182791305306
ema_cross_16_48,2022-11,-0.3754992931853173
ema_cross_16_48,2022-12,-0.4542815962020865
ema_cross_16_48,2023-01,0.1865034082570188
ema_cross_16_48,2023-02,0.06820016367467939
ema_cross_16_48,2023-03,-0.25209914244690307
ema_cross_16_48,2023-04,-0.1154418600690632
ema_cross_16_48,2023-05,0.0010524137582107033
ema_cross_16_48,2023-06,-0.08848995302999269
ema_cross_16_48,2023-07,0.07800308003445919
ema_cross_16_48,2023-08,0.15396861449686042
ema_cross_16_48,2023-09,0.10314448327624516
ema_cross_16_48,2023-10,-0.016390770899399908
ema_cross_16_48,2023-11,-0.16026859273428518
ema_cross_16_48,2023-12,-0.002837497885042034
ema_cross_16_48,2024-01,-0.21061486878429173
ema_cross_16_48,2024-02,0.028282740444626885
ema_cross_16_48,2024-03,-0.031711508314194094
ema_cross_16_48,2024-04,0.18604895632803073
ema_cross_16_48,2024-05,-0.25268883317330965
ema_cross_16_48,2024-06,-0.138851829116595
ema_cross_16_48,2024-07,-0.20933601216126205
ema_cross_16_48,2024-08,0.1746770631807099
ema_cross_16_48,2024-09,0.05313131394149279
ema_cross_16_48,2024-10,-0.07489257553971741
ema_cross_16_48,2024-11,-0.014631139087286646
ema_cross_16_48,2024-12,-0.1533844045813527
ema_cross_16_48,2025-01,-0.06480317502248051
ema_cross_16_48,2025-02,-0.1981985956412248
ema_cross_16_48,2025-03,-0.0976777880576862
ema_cross_16_48,2025-04,-0.1350385463795105
ema_cross_16_48,2025-05,0.09208406684245168
ema_cross_16_48,2025-06,0.010373558905941925
ema_cross_16_48,2025-07,0.3592477425330249
ema_cross_16_48,2025-08,0.2493312240062932
ema_cross_16_48,2025-09,-0.08942581066334812
ema_cross_16_48,2025-10,0.028180142114117793
ema_cross_16_48,2025-11,-0.3937590246129055
ema_cross_16_48,2025-12,0.31754287798599223
ema_cross_16_48,2026-01,-0.0737139421720468
ema_cross_16_48,2026-02,-0.0926764956044551
ema_cross_16_48,2026-03,0.1357764394336083
ema_cross_16_48,2026-04,-0.2844605073508055
ema_cross_16_48,2026-05,-0.01935887651010161
ema_cross_32_96,2021-07,-0.07345576505804358
ema_cross_32_96,2021-08,0.14247702769974846
ema_cross_32_96,2021-09,-0.260289384865614
ema_cross_32_96,2021-10,0.24362059130883737
ema_cross_32_96,2021-11,-0.3743010475227152
ema_cross_32_96,2021-12,0.027900773409416192
ema_cross_32_96,2022-01,0.024596384993964
ema_cross_32_96,2022-02,-0.05224378405964878
ema_cross_32_96,2022-03,0.1553020733015369
ema_cross_32_96,2022-04,0.3971043852034613
ema_cross_32_96,2022-05,0.4004813857625655
ema_cross_32_96,2022-06,0.03022141884504878
ema_cross_32_96,2022-07,-0.2251331334978493
ema_cross_32_96,2022-08,0.0991169709829209
ema_cross_32_96,2022-09,0.1235538293735773
ema_cross_32_96,2022-10,0.3143893538454581
ema_cross_32_96,2022-11,-0.2731774100599344
