model,total_return,sharpe_ratio,max_drawdown,profit_factor
decoder_tft,3.311699430002884,2.492199163804398,-0.34392926347114616,1.1242719593804176
lstm_dmn,0.2514351452242678,1.6598477244449006,-0.09121679524385229,0.9434114593613899
macd_32_96,1.3402731440181777,1.4058802694545633,-0.6883177647970069,0.558220355609369
ema_cross_32_96,1.3402731440181777,1.4058802694545633,-0.6883177647970069,0.558220355609369
decoder_transformer,0.24306256512490054,0.666331554854942,-0.4477653488771608,0.946907642794082
ema_cross_8_24,-0.8848024045206779,-0.2536225720037771,-0.9748909402125507,0.20740712955133003
macd_8_24,-0.8848024045206779,-0.2536225720037771,-0.9748909402125507,0.20740712955133003
tsmom_78,-0.9681049532501254,-0.940538915763245,-0.9802620590339606,0.23197473380507427
macd_16_48,-0.9718232044907668,-0.9980265078344653,-0.9776791401344563,0.3395431138229987
ema_cross_16_48,-0.9718232044907668,-0.9980265078344653,-0.9776791401344563,0.3395431138229987
long_only,-0.9916986370540062,-1.61522732521647,-0.996271894784301,0.672158049660259
tsmom_48,-0.9967994240381994,-2.247549157194305,-0.998884980489519,0.1920312947653035
tsmom_12,-0.9978629767325837,-2.5388181280387254,-0.9983583349475306,0.11453448620085498
tsmom_24,-0.9997314348179038,-3.6494154696698646,-0.9998469851090077,0.13156907666564624
