round_trip_cost_points,net_total_return,net_sharpe,net_max_drawdown,net_profit_factor,net_average_trade_pnl,window,model
,-0.557196367322847,-3.286194254201816,-0.6398041228716476,0.6654623318633355,-1.187946958139511,wf_1_2021-07-01_2021-12-31,long_only
,-0.40662012021787386,-1.9504795318227137,-0.5428037787386024,0.13069590387679533,-4.155160171505377,wf_1_2021-07-01_2021-12-31,tsmom_12
,-0.3457010138461013,-1.3478352589826144,-0.6199459012241308,0.14530189528820775,-4.033978676142151,wf_1_2021-07-01_2021-12-31,tsmom_24
,-0.11699826485357079,0.22830615378408728,-0.36302737168258514,0.23193695003582238,-3.8230730859416466,wf_1_2021-07-01_2021-12-31,tsmom_48
,-0.3002055815145861,-0.9596408628952312,-0.4235311445587616,0.24008122606913532,-3.5355196320699878,wf_1_2021-07-01_2021-12-31,tsmom_78
,-0.019138422853788972,0.8036055992424473,-0.453174627659906,0.2239279418151007,-3.7389970521978158,wf_1_2021-07-01_2021-12-31,ema_cross_8_24
,-0.019138422853788972,0.8036055992424473,-0.453174627659906,0.2239279418151007,-3.7389970521978158,wf_1_2021-07-01_2021-12-31,macd_8_24
,-0.36581513398418597,-1.4742253626952253,-0.5521617147802778,0.352434478289389,-2.768712351968517,wf_1_2021-07-01_2021-12-31,ema_cross_16_48
,-0.36581513398418597,-1.4742253626952253,-0.5521617147802778,0.352434478289389,-2.768712351968517,wf_1_2021-07-01_2021-12-31,macd_16_48
,-0.37433998092956966,-1.5289197233940108,-0.5196935735298944,0.6001335601897977,-1.427918752000009,wf_1_2021-07-01_2021-12-31,ema_cross_32_96
,-0.37433998092956966,-1.5289197233940108,-0.5196935735298944,0.6001335601897977,-1.427918752000009,wf_1_2021-07-01_2021-12-31,macd_32_96
,-0.0055698565333399674,-0.372851749155175,-0.03916184110243637,0.8361366694708737,-0.081757294117639,wf_1_2021-07-01_2021-12-31,lstm_dmn
,0.047005853822994714,1.0901995663187085,-0.14211702363211254,0.8669711030412566,-0.19579504895238042,wf_1_2021-07-01_2021-12-31,decoder_transformer
,0.41886572896848806,4.741102344170647,-0.2675322224711595,1.2993994415711505,0.45525147573333585,wf_1_2021-07-01_2021-12-31,decoder_tft
,-0.7164981443461804,-5.049920283147137,-0.7720600622396898,0.5264422077279834,-1.5274781193277627,wf_2_2022-01-01_2022-06-30,long_only
,0.30464142004517525,2.363428360148848,-0.4312498835109573,0.09322108494886594,-4.777497780804948,wf_2_2022-01-01_2022-06-30,tsmom_12
,-0.12195498794175352,0.3760858311603973,-0.3933614893205848,0.12067146461972049,-4.296746322020212,wf_2_2022-01-01_2022-06-30,tsmom_24
,0.38547700620795244,2.649462494772349,-0.573471723340387,0.15839484026970235,-4.390950235109726,wf_2_2022-01-01_2022-06-30,tsmom_48
,0.22448177208013265,2.039137385379664,-0.4812448348917707,0.2046508819666481,-3.5844579724137837,wf_2_2022-01-01_2022-06-30,tsmom_78
,0.40757718598876225,2.726650063614253,-0.4171342621200017,0.1507908100019693,-4.175738994888187,wf_2_2022-01-01_2022-06-30,ema_cross_8_24
,0.40757718598876225,2.726650063614253,-0.4171342621200017,0.1507908100019693,-4.175738994888187,wf_2_2022-01-01_2022-06-30,macd_8_24
,0.08642230215329527,1.4520907892341057,-0.46911871317775045,0.21626330402072297,-3.2442024672489,wf_2_2022-01-01_2022-06-30,ema_cross_16_48
,0.08642230215329527,1.4520907892341057,-0.46911871317775045,0.21626330402072297,-3.2442024672489,wf_2_2022-01-01_2022-06-30,macd_16_48
,1.2360885491876425,4.969967282642803,-0.3261153842592599,0.45593092453884193,-1.7878112917646944,wf_2_2022-01-01_2022-06-30,ema_cross_32_96
,1.2360885491876425,4.969967282642803,-0.3261153842592599,0.45593092453884193,-1.7878112917646944,wf_2_2022-01-01_2022-06-30,macd_32_96
,0.01963656243717904,3.6758975964484213,-0.017275929987296323,0.3311694795962279,-0.33318022451612966,wf_2_2022-01-01_2022-06-30,lstm_dmn
,-0.3059042391892366,-4.609510509299039,-0.4318410677191411,1.0054608883712242,0.008382250054883215,wf_2_2022-01-01_2022-06-30,decoder_transformer
,0.03933327272422371,0.9125710496671532,-0.27104274854664223,1.2414632253913376,0.3407334329962308,wf_2_2022-01-01_2022-06-30,decoder_tft
,-0.7093614057672137,-2.7428836822384626,-0.8233234145353103,0.8257688498106487,-0.5817862640624862,wf_3_2022-06-30_2022-12-29,long_only
,0.030008749568161353,1.464651162719672,-0.5337912227546391,0.14250182810450623,-4.559814667831139,wf_3_2022-06-30_2022-12-29,tsmom_12
,-0.53675089343565,-1.31375748768361,-0.755802483282539,0.16868503130577495,-4.921564163005766,wf_3_2022-06-30_2022-12-29,tsmom_24
,-0.8295247119735798,-4.74144579871122,-0.8717820740685019,0.2349115393417409,-4.551550445482867,wf_3_2022-06-30_2022-12-29,tsmom_48
,-0.6006292327876233,-1.7330643475680982,-0.7408428496943658,0.3189775870419374,-3.315601117966094,wf_3_2022-06-30_2022-12-29,tsmom_78
,-0.12085769460081008,0.9320788739217896,-0.6005929931661935,0.2594168973679981,-3.751356090461512,wf_3_2022-06-30_2022-12-29,ema_cross_8_24
,-0.12085769460081008,0.9320788739217896,-0.6005929931661935,0.2594168973679981,-3.751356090461512,wf_3_2022-06-30_2022-12-29,macd_8_24
,-0.7319337431532779,-3.099329050074092,-0.8029180297648338,0.4554291462011455,-2.3861410995670993,wf_3_2022-06-30_2022-12-29,ema_cross_16_48
,-0.7319337431532779,-3.099329050074092,-0.8029180297648338,0.4554291462011455,-2.3861410995670993,wf_3_2022-06-30_2022-12-29,macd_16_48
,-0.519397065975171,-1.0591592495191609,-0.6734554506316405,0.5736950539168862,-1.6305791643243277,wf_3_2022-06-30_2022-12-29,ema_cross_32_96
,-0.519397065975171,-1.0591592495191609,-0.6734554506316405,0.5736950539168862,-1.6305791643243277,wf_3_2022-06-30_2022-12-29,macd_32_96
,0.0013086174978631515,0.3196532902418809,-0.011412569935409733,0.9721021093976411,-0.008918696470580901,wf_3_2022-06-30_2022-12-29,lstm_dmn
,0.2364442922556571,3.1393360338389056,-0.16634108069155396,1.1207126458865249,0.1535537024496141,wf_3_2022-06-30_2022-12-29,decoder_transformer
,0.33303706050030546,3.2246635838335367,-0.25546059568534896,1.4623978952217622,0.6354377656230021,wf_3_2022-06-30_2022-12-29,decoder_tft
,-0.35631492906004203,-2.0625462697246433,-0.5789526145183994,0.6519802697269356,-0.9080408183333143,wf_4_2023-01-01_2023-06-30,long_only
,-0.6909716910123787,-7.168102764729556,-0.7491604865543171,0.0910281185176973,-3.4381788828402415,wf_4_2023-01-01_2023-06-30,tsmom_12
,-0.6167375191789043,-5.660713823033015,-0.7310748595587768,0.13048758221253795,-3.0998514270058717,wf_4_2023-01-01_2023-06-30,tsmom_24
