round_trip_cost_points,net_total_return,net_sharpe,net_max_drawdown,net_profit_factor,net_average_trade_pnl,window,model
,-0.557196367322847,-3.286194254201816,-0.6398041228716476,0.6654623318633355,-1.187946958139511,wf_1_2021-07-01_2021-12-31,long_only
,-0.40662012021787386,-1.9504795318227137,-0.5428037787386024,0.13069590387679533,-4.155160171505377,wf_1_2021-07-01_2021-12-31,tsmom_12
,-0.3457010138461013,-1.3478352589826144,-0.6199459012241308,0.14530189528820775,-4.033978676142151,wf_1_2021-07-01_2021-12-31,tsmom_24
,-0.11699826485357079,0.22830615378408728,-0.36302737168258514,0.23193695003582238,-3.8230730859416466,wf_1_2021-07-01_2021-12-31,tsmom_48
,-0.3002055815145861,-0.9596408628952312,-0.4235311445587616,0.24008122606913532,-3.5355196320699878,wf_1_2021-07-01_2021-12-31,tsmom_78
,-0.019138422853788972,0.8036055992424473,-0.453174627659906,0.2239279418151007,-3.7389970521978158,wf_1_2021-07-01_2021-12-31,ema_cross_8_24
,-0.019138422853788972,0.8036055992424473,-0.453174627659906,0.2239279418151007,-3.7389970521978158,wf_1_2021-07-01_2021-12-31,macd_8_24
,-0.36581513398418597,-1.4742253626952253,-0.5521617147802778,0.352434478289389,-2.768712351968517,wf_1_2021-07-01_2021-12-31,ema_cross_16_48
,-0.36581513398418597,-1.4742253626952253,-0.5521617147802778,0.352434478289389,-2.768712351968517,wf_1_2021-07-01_2021-12-31,macd_16_48
,-0.37433998092956966,-1.5289197233940108,-0.5196935735298944,0.6001335601897977,-1.427918752000009,wf_1_2021-07-01_2021-12-31,ema_cross_32_96
,-0.37433998092956966,-1.5289197233940108,-0.5196935735298944,0.6001335601897977,-1.427918752000009,wf_1_2021-07-01_2021-12-31,macd_32_96
,-0.0055698565333399674,-0.372851749155175,-0.03916184110243637,0.8361366694708737,-0.081757294117639,wf_1_2021-07-01_2021-12-31,lstm_dmn
,0.047005853822994714,1.0901995663187085,-0.14211702363211254,0.8669711030412566,-0.19579504895238042,wf_1_2021-07-01_2021-12-31,decoder_transformer
,0.41886572896848806,4.741102344170647,-0.2675322224711595,1.2993994415711505,0.45525147573333585,wf_1_2021-07-01_2021-12-31,decoder_tft
